name,team,position,expected_goals_1,expected_goals_2,expected_goals_3,expected_goals_4,expected_goals_5,expected_goals_6,expected_goals_7,expected_goals_8,expected_goals_9,expected_goals_10,expected_goals_11
Alphonse Areola,19.0,GK,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amad Diallo,14.0,MID,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amadou Onana,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0561,0.0
Amario Cozier-Duberry,,,,,,,,,,,,,0.0
Andreas Hoelgebaum Pereira,9.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5282
Andrew Moran,,,,,,,,,,0.0,0.0,0.0,0.0
Andrew Robertson,12.0,DEF,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrey Nascimento dos Santos,,,,,,,,,,,,,
Andros Townsend,8.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AndrÃ© Ayew,,,,,,,,,,,,,
AndrÃ© Tavares Gomes,8.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andy Lonergan,,,,,,,,,,,,,
Angelo Ogbonna,19.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Elanga,14.0,MID,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0821,0.0
Anthony Gordon,8.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5862
Anthony Knockaert,9.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Martial,14.0,FWD,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.5217
Antoine Semenyo,,,,,,,,,,,,,
Antonee Robinson,9.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antony Matheus dos Santos,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4792
Anwar El Ghazi,2.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Archie Gray,10.0,MID,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armando Broja,6.0,FWD,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1058,0.0
Armel Bella-Kotchap,17.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armstrong Oko-Flex,19.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arnaut Danjuma,,,,,,,,,,,,,
Arthur Henrique Ramos de Oliveira Melo,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arthur Masuaku,19.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashley Young,2.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0347,0.0
Asmir BegoviÄ,8.0,GK,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aymeric Laporte,13.0,DEF,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0745,0.0
Ayoze PÃ©rez,11.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0775
Bashir Humphreys,,,,,,,,,,,,,0.0
Ben Chilwell,6.0,DEF,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Davies,12.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Doak,,,,,,,,,,,,0.0,0.0
Ben Godfrey,8.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5411
Ben Greenwood,,,,,,,,,,,,,
Ben Johnson,19.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Knight,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Ben Mee,4.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Pearson,3.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benjamin White,1.0,DEF,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0376,0.0
BenoÃ®t Badiashile,,,,,,,,,,,,,
Bernardo Veiga de Carvalho e Silva,13.0,MID,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0193,0.0
Bernd Leno,9.0,GK,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bertrand TraorÃ©,2.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Billy Gilmour,6.0,MID,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bobby Clark,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bobby De Cordova-Reid,9.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5479
Boubacar Kamara,2.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0215,0.0
Boubacar TraorÃ©,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0329,0.0
Boubakary SoumarÃ©,11.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Braian Ojeda RodrÃ­guez,16.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Austin,18.0,GK,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Williams,14.0,DEF,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brenden Aaronson,10.0,MID,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0845,0.0269
Brennan Johnson,16.0,FWD,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1224,0.2834
Brice Samba,16.0,GK,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruno Borges Fernandes,14.0,MID,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0823,0.1338
Bruno GuimarÃ£es Rodriguez Moura,15.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.199,0.0907
Bryan Gil Salvatierra,18.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bryan Mbeumo,4.0,FWD,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1145,0.1019
Bukayo Saka,1.0,MID,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.6557
Callum Hudson-Odoi,6.0,MID,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Callum Wilson,15.0,FWD,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calum Chambers,2.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calvin Ramsay,12.0,DEF,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cameron Archer,2.0,FWD,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cameron Peupion,,,,,,,,,,,,,
Cameron Plain,,,,,,,,,,0.0,0.0,0.0,0.0
Caoimhin Kelleher,12.0,GK,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Alcaraz,,,,,,,,,,,,,
Carlos Henrique Casimiro,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039,0.1805
Carlos Ribeiro Dias,16.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos VinÃ­cius Alves Morais,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1674,0.0
Carney Chukwuemeka,6.0,MID,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie Goode,4.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie Robinson,,,,,,,,,,,,,
Che Adams,17.0,FWD,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5868,0.1766
Cheick DoucourÃ©,7.0,MID,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheikhou KouyatÃ©,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chem Campbell,20.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Mepham,3.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Richards,7.0,DEF,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Wood,15.0,FWD,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9426
Christian Benteke,7.0,FWD,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Eriksen,14.0,MID,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0218,0.0925
Christian NÃ¸rgaard,4.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416
Christian Pulisic,6.0,MID,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875
Christian Saydee,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ciaran Clark,15.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claudio Gomes,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
ClÃ©ment Lenglet,18.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0232
Cody Drameh,10.0,DEF,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cody Gakpo,,,,,,,,,,,,,
Cole Palmer,13.0,MID,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Connor Ronan,20.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Conor Coady,20.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Conor Coventry,19.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Conor Gallagher,6.0,MID,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0539,0.1567
Craig Dawson,19.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cristian Romero,18.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cristiano Ronaldo dos Santos Aveiro,14.0,FWD,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crysencio Summerville,10.0,MID,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5236,0.0
Curtis Jones,12.0,MID,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CÃ©dric Alves Soares,1.0,DEF,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
CÃ©sar Azpilicueta,6.0,DEF,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dale Taylor,,,,,,,,,,,,0.0,0.0
Dan Burn,15.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0514,0.0
Dane Scarlett,18.0,FWD,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dango Ouattara,,,,,,,,,,,,,
Daniel Adu-Adjei,,,,,,,,,,,,,
Daniel Amartey,11.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0347,0.0
Daniel Bentley,,,,,,,,,,,,,
Daniel Castelo Podence,20.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1346,0.3211
Daniel Iversen,11.0,GK,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel James,10.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7592,0.0
Danilo dos Santos de Oliveira,,,,,,,,,,,,,
Danny Ings,2.0,FWD,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.085,0.0
Danny Ward,11.0,GK,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danny Welbeck,5.0,FWD,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darko Gyabi,10.0,MID,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0637
Darren Randolph,19.0,GK,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darwin NÃºÃ±ez Ribeiro,12.0,FWD,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7443,1.145
David Brooks,3.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Datro Fofana,,,,,,,,,,,,,
David De Gea Quintana,14.0,GK,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Ozoh,,,,,,,,,,,,,
David Raya Martin,4.0,GK,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davinson SÃ¡nchez,18.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0182
Dean Henderson,16.0,GK,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Declan Rice,19.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1806,0.0
Dejan Kulusevski,18.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2349,0.027
Dele Alli,8.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Demarai Gray,8.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1367,0.0371
Denis Zakaria,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1856
Deniz Undav,5.0,FWD,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.0
Dennis Praet,11.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dexter Lembikisa,,,,,,,,,,,,0.0,0.0
Diego Carlos Santos Silva,2.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diego Da Silva Costa,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0965
Diego Llorente,10.0,DEF,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diogo Dalot Teixeira,14.0,DEF,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diogo Pinheiro Monteiro,,,,,,,,,,,,,
Diogo Teixeira da Silva,12.0,FWD,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Divin Mubama,,,,,,,,,,,,,0.0
Djed Spence,18.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominic Ballard,,,,,,,,,,,,,
Dominic Calvert-Lewin,8.0,FWD,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominic Sadi,,,,,,,,,,,,,
Dominic Solanke,3.0,FWD,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4268,0.1534
Dominic Thompson,4.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Donny van de Beek,14.0,MID,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0676
Douglas Luiz Soares de Paulo,2.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0
Duje Caleta-Car,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dwight Gayle,15.0,FWD,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dwight McNeil,8.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666,0.0
Eberechi Eze,7.0,MID,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0401,0.0
Ed Turns,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eddie Nketiah,1.0,FWD,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.4556
Ederson Santana de Moraes,13.0,GK,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Edouard Mendy,6.0,GK,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eldin Jakupovic,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ellery Balcombe,4.0,GK,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elliot Anderson,15.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ellis Simms,,,,,,,,,,,,,
Emerson Leite de Souza Junior,18.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4105,0.0
Emerson Palmieri dos Santos,6.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emil Krafth,15.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emile Smith Rowe,1.0,MID,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Emiliano BuendÃ­a Stati,2.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2687,0.0707
Emiliano Marcondes,3.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emiliano MartÃ­nez Romero,2.0,GK,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emmanuel Dennis,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0987
Enock Mwepu,5.0,MID,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enzo FernÃ¡ndez,,,,,,,,,,,,,
Eric Bailly,14.0,DEF,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric Dier,18.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491
Erling Haaland,13.0,FWD,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0268,1.9076
Ethan Ampadu,6.0,DEF,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethan Nwaneri,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Ethan Pinnock,4.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0653
Ethan Wady,,,,,,,,,,,,,
Euan Pollock,,,,,,,,,,,,,
Evan Ferguson,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ezri Konsa Ngoyo,2.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fabian SchÃ¤r,15.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0599,0.1161
Fabio Henrique Tavares,12.0,MID,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0487,0.0208
Fabio Silva,20.0,FWD,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Facundo Buonanotte,,,,,,,,,,,,,
Facundo Pellistri Rebollo,14.0,MID,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federico FernÃ¡ndez,15.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Felipe Augusto de Almeida Monteiro,,,,,,,,,,,,,
Filip Marschall,,,,,,,,,,,,,0.0
Fin Stevens,4.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flynn Downes,19.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Francisco Jorge TomÃ¡s Oliveira,20.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frank Onyeka,4.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1556,0.0
Fraser Forster,18.0,GK,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frederico Rodrigues de Paula Santos,14.0,MID,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455
FrÃ©dÃ©ric Guilbert,2.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FÃ¡bio Ferreira Vieira,1.0,MID,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0607,0.0
FÃ¡bio Freitas Gouveia Carvalho,12.0,MID,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabriel Fernando de Jesus,1.0,FWD,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.372,0.0
Gabriel Martinelli Silva,1.0,MID,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0658,0.0769
Gabriel dos Santos MagalhÃ£es,1.0,DEF,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.108,0.0
Garang Kuol,,,,,,,,,,,,,
Gavin Bazunu,17.0,GK,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
George Abbott,,,,,,,,,,,,,
George Shelvey,,,,,,,,,,,,,
George Wickens,,,,,,,,,,,,,
Georginio Rutter,,,,,,,,,,,,,
Gianluca Scamacca,19.0,FWD,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3106,0.0
Giulian Biancone,16.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GonÃ§alo Manuel Ganchinho Guedes,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1806,0.0
Granit Xhaka,1.0,MID,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0715
Gustavo Henrique Furtado Scarpa,,,,,,,,,,,,,
Hakim Ziyech,6.0,MID,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Halil DerviÅoÄlu,4.0,FWD,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hamed TraorÃ¨,,,,,,,,,,,,,
Hamza Choudhury,11.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harrison Ashby,19.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harrison Reed,9.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harry Arter,16.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harry Kane,18.0,FWD,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5611,0.3877
Harry Maguire,14.0,DEF,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harry Souttar,,,,,,,,,,,,,
Harry Toffolo,16.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0109
Harry Wilson,9.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0661,0.0808
Harry Winks,18.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harvey Barnes,11.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4371,0.0
Harvey Davies,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harvey Elliott,12.0,MID,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harvey Griffiths,,,,,,,,,,,0.0,0.0,0.0
Harvey Vale,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harvey White,18.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haydon Roberts,5.0,DEF,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hugo Bueno LÃ³pez,20.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0672,0.0265
Hugo Lloris,18.0,GK,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hwang Hee-chan,20.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
Ibrahima Diallo,17.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0523
Ibrahima KonatÃ©,12.0,DEF,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Idrissa Gueye,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ilkay GÃ¼ndogan,13.0,MID,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.4405,0.4705
Illan Meslier,10.0,GK,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Illia Zabarnyi,,,,,,,,,,,,,
Imari Samuels,,,,,,,,,,,,,
Isaac Price,,,,,,,,,,,,,
IshÃ© Samuels-Smith,,,,,,,,,,,,,
Issa Diop,19.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301
Ivan Neves Abreu Cavaleiro,9.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ivan PeriÅ¡iÄ,18.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ivan Toney,4.0,FWD,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0107,0.8239
Jack Butland,7.0,GK,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Colback,16.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Grealish,13.0,MID,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.7183
Jack Harrison,10.0,MID,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Hinshelwood,,,,,,,,,,,,,
Jack Stacey,3.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Stephens,17.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Wells-Morrison,,,,,,,,,,0.0,0.0,0.0,0.0
Jackson Smith,20.0,GK,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacob Murphy,15.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacob Ramsey,2.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0748,0.0
Jaden Philogene-Bidace,2.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jadon Sancho,14.0,MID,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaidon Anthony,3.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4167,0.0971
Jairo Riedewald,7.0,MID,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
